theta1,theta2,px,py
0,0,90,0
0,10,89.39231012,6.945927107
0,20,87.58770483,13.68080573
0,30,84.64101615,20
0,40,80.64177772,25.71150439
0,50,75.71150439,30.64177772
0,60,70,34.64101615
0,70,63.68080573,37.58770483
0,80,56.94592711,39.39231012
0,90,50,40
0,100,43.05407289,39.39231012
0,110,36.31919427,37.58770483
0,120,30,34.64101615
0,130,24.28849561,30.64177772
0,140,19.35822228,25.71150439
0,150,15.35898385,20
0,160,12.41229517,13.68080573
0,170,10.60768988,6.945927107
0,180,10,4.90E-15
0,190,10.60768988,-6.945927107
0,200,12.41229517,-13.68080573
0,210,15.35898385,-20
0,220,19.35822228,-25.71150439
0,230,24.28849561,-30.64177772
0,240,30,-34.64101615
0,250,36.31919427,-37.58770483
0,260,43.05407289,-39.39231012
0,270,50,-40
0,280,56.94592711,-39.39231012
0,290,63.68080573,-37.58770483
0,300,70,-34.64101615
0,310,75.71150439,-30.64177772
0,320,80.64177772,-25.71150439
0,330,84.64101615,-20
0,340,87.58770483,-13.68080573
0,350,89.39231012,-6.945927107
0,360,90,-9.80E-15
10,0,88.63269777,15.62833599
10,10,86.82809248,22.36321462
10,20,83.8814038,28.68240888
10,30,79.88216538,34.39391327
10,40,74.95189204,39.32418661
10,50,69.24038765,43.32342503
10,60,62.92119338,46.27011371
10,70,56.18631476,48.074719
10,80,49.24038765,48.68240888
10,90,42.29446054,48.074719
10,100,35.55958192,46.27011371
10,110,29.24038765,43.32342503
10,120,23.52888326,39.32418661
10,130,18.59860993,34.39391327
10,140,14.5993715,28.68240888
10,150,11.65268282,22.36321462
10,160,9.84807753,15.62833599
10,170,9.240387651,8.682408883
10,180,9.84807753,1.736481777
10,190,11.65268282,-4.99839685
10,200,14.5993715,-11.31759112
10,210,18.59860993,-17.0290955
10,220,23.52888326,-21.95936884
10,230,29.24038765,-25.95860727
10,240,35.55958192,-28.90529595
10,250,42.29446054,-30.70990124
10,260,49.24038765,-31.31759112
10,270,56.18631476,-30.70990124
10,280,62.92119338,-28.90529595
10,290,69.24038765,-25.95860727
10,300,74.95189204,-21.95936884
10,310,79.88216538,-17.0290955
10,320,83.8814038,-11.31759112
10,330,86.82809248,-4.99839685
10,340,88.63269777,1.736481777
10,350,89.24038765,8.682408883
10,360,88.63269777,15.62833599
20,0,84.57233587,30.7818129
20,10,81.62564719,37.10100717
20,20,77.62640876,42.81251155
20,30,72.69613543,47.74278489
20,40,66.98463104,51.74202332
20,50,60.66543677,54.688712
20,60,53.93055815,56.49331729
20,70,46.98463104,57.10100717
20,80,40.03870393,56.49331729
20,90,33.30382531,54.688712
20,100,26.98463104,51.74202332
20,110,21.27312665,47.74278489
20,120,16.34285331,42.81251155
20,130,12.34361489,37.10100717
20,140,9.396926208,30.7818129
20,150,7.592320919,24.04693427
20,160,6.984631039,17.10100717
20,170,7.592320919,10.15508006
20,180,9.396926208,3.420201433
20,190,12.34361489,-2.898992834
20,200,16.34285331,-8.610497221
20,210,21.27312665,-13.54077056
20,220,26.98463104,-17.54000899
20,230,33.30382531,-20.48669767
20,240,40.03870393,-22.29130295
20,250,46.98463104,-22.89899283
20,260,53.93055815,-22.29130295
20,270,60.66543677,-20.48669767
20,280,66.98463104,-17.54000899
20,290,72.69613543,-13.54077056
20,300,77.62640876,-8.610497221
20,310,81.62564719,-2.898992834
20,320,84.57233587,3.420201433
20,330,86.37694116,10.15508006
20,340,86.98463104,17.10100717
20,350,86.37694116,24.04693427
20,360,84.57233587,30.7818129
30,0,77.94228634,45
30,10,73.94304791,50.71150439
30,20,69.01277458,55.64177772
