theta1,theta2,theta3,px,py,phi
0,0,0,110,0,0
0,0,10,109.6961551,3.472963553,10
0,0,20,108.7938524,6.840402867,20
0,0,30,107.3205081,10,30
0,0,40,105.3208889,12.85575219,40
0,0,50,102.8557522,15.32088886,50
0,0,60,100,17.32050808,60
0,0,70,96.84040287,18.79385242,70
0,0,80,93.47296355,19.69615506,80
0,0,90,90,20,90
0,0,100,86.52703645,19.69615506,100
0,0,110,83.15959713,18.79385242,110
0,0,120,80,17.32050808,120
0,0,130,77.14424781,15.32088886,130
0,0,140,74.67911114,12.85575219,140
0,0,150,72.67949192,10,150
0,0,160,71.20614758,6.840402867,160
0,0,170,70.30384494,3.472963553,170
0,0,180,70,2.45E-15,180
0,10,0,109.0884652,10.41889066,10
0,10,10,108.1861625,13.78632997,20
0,10,20,106.7128182,16.94592711,30
0,10,30,104.713199,19.8016793,40
0,10,40,102.2480623,22.26681597,50
0,10,50,99.39231012,24.26643518,60
0,10,60,96.23271299,25.73977952,70
0,10,70,92.86527367,26.64208217,80
0,10,80,89.39231012,26.94592711,90
0,10,90,85.91934657,26.64208217,100
0,10,100,82.55190725,25.73977952,110
0,10,110,79.39231012,24.26643518,120
0,10,120,76.53655793,22.26681597,130
0,10,130,74.07142126,19.8016793,140
0,10,140,72.07180204,16.94592711,150
0,10,150,70.5984577,13.78632997,160
0,10,160,69.69615506,10.41889066,170
0,10,170,69.39231012,6.945927107,180
0,10,180,69.69615506,3.472963553,190
0,20,0,106.3815572,20.5212086,20
0,20,10,104.9082129,23.68080573,30
0,20,20,102.9085937,26.53655793,40
0,20,30,100.443457,29.0016946,50
0,20,40,97.58770483,31.00131381,60
0,20,50,94.4281077,32.47465815,70
0,20,60,91.06066838,33.37696079,80
0,20,70,87.58770483,33.68080573,90
0,20,80,84.11474128,33.37696079,100
0,20,90,80.74730196,32.47465815,110
0,20,100,77.58770483,31.00131381,120
0,20,110,74.73195264,29.0016946,130
0,20,120,72.26681597,26.53655793,140
0,20,130,70.26719676,23.68080573,150
0,20,140,68.79385242,20.5212086,160
0,20,150,67.89154977,17.15376929,170
0,20,160,67.58770483,13.68080573,180
0,20,170,67.89154977,10.20784218,190
0,20,180,68.79385242,6.840402867,200
0,30,0,101.9615242,30,30
0,30,10,99.96190501,32.85575219,40
0,30,20,97.49676835,35.32088886,50
0,30,30,94.64101615,37.32050808,60
0,30,40,91.48141902,38.79385242,70
0,30,50,88.1139797,39.69615506,80
0,30,60,84.64101615,40,90
0,30,70,81.1680526,39.69615506,100
0,30,80,77.80061328,38.79385242,110
0,30,90,74.64101615,37.32050808,120
0,30,100,71.78526396,35.32088886,130
0,30,110,69.32012729,32.85575219,140
